,close,end_date,flag,time,code,open,high,low,volume,money,spot,date,ttm_days,base_sprd
2,6345.0,2018-01-19,0,2018-01-02,IC1801.CCFX,6293.0,6355.0,6266.6,8880.0,11217410360.0,6332.23,2018-01-02,17,12.770000000000437
1,6329.0,2018-02-22,1,2018-01-02,IC1802.CCFX,6284.6,6335.0,6246.6,377.0,474397840.0,6332.23,2018-01-02,51,-3.2299999999995634
0,6305.0,2018-03-16,2,2018-01-02,IC1803.CCFX,6251.0,6319.0,6231.2,1081.0,1357462400.0,6332.23,2018-01-02,73,-27.229999999999563
3,6264.4,2018-06-15,3,2018-01-02,IC1806.CCFX,6168.2,6272.6,6168.2,233.0,290100920.0,6332.23,2018-01-02,164,-67.82999999999993
2,6388.2,2018-01-19,0,2018-01-03,IC1801.CCFX,6350.0,6411.4,6336.4,8896.0,11348790760.0,6388.25,2018-01-03,16,-0.0500000000001819
1,6362.0,2018-02-22,1,2018-01-03,IC1802.CCFX,6329.0,6386.0,6317.4,236.0,299952640.0,6388.25,2018-01-03,50,-26.25
0,6344.4,2018-03-16,2,2018-01-03,IC1803.CCFX,6316.0,6368.6,6301.8,917.0,1162593200.0,6388.25,2018-01-03,72,-43.850000000000364
3,6306.0,2018-06-15,3,2018-01-03,IC1806.CCFX,6251.0,6332.2,6248.8,232.0,292002680.0,6388.25,2018-01-03,163,-82.25
2,6406.8,2018-01-19,0,2018-01-04,IC1801.CCFX,6375.0,6414.8,6375.0,7374.0,9435132840.0,6417.53,2018-01-04,15,-10.729999999999563
1,6380.2,2018-02-22,1,2018-01-04,IC1802.CCFX,6340.6,6384.8,6340.6,220.0,280448920.0,6417.53,2018-01-04,49,-37.32999999999993
0,6356.6,2018-03-16,2,2018-01-04,IC1803.CCFX,6342.4,6362.0,6334.6,563.0,715012920.0,6417.53,2018-01-04,71,-60.92999999999938
3,6307.4,2018-06-15,3,2018-01-04,IC1806.CCFX,6298.0,6315.0,6292.4,134.0,168961040.0,6417.53,2018-01-04,162,-110.13000000000011
